quarter,GDP
Q1 '12,16.13
Q2 '12,16.2
Q3 '12,16.22
Q4 '12,16.24
Q1 '13,16.38
Q2 '13,16.4
Q3 '13,16.53
Q4 '13,16.66
Q1 '14,16.62
Q2 '14,16.84
Q3 '14,17.05
Q4 '14,17.14
Q1 '15,17.31
Q2 '15,17.42
Q3 '15,17.49
Q4 '15,17.51
Q1 '16,17.61
Q2 '16,17.67
Q3 '16,17.76
Q4 '16,17.88
Q1 '17,17.98
Q2 '17,18.05
Q3 '17,18.18
Q4 '17,18.36
Q1 '18,18.53
Q2 '18,18.65
Q3 '18,18.75
Q4 '18,18.81
Q1 '19,18.83
Q2 '19,18.98
Q3 '19,19.11
Q4 '19,19.2
Q1 '20,18.95
Q2 '20,17.26
Q3 '20,18.56
Q4 '20,18.77
Q1 '21,19.06
Q2 '21,19.37
Q3 '21,19.48
Q4 '21,19.81
Q1 '22,19.73
Q2 '22,19.68